#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
k_trident_adj;Trident;Trident;Dreizack;;Tridente;;;;;;;;;x
EVTOPTG100110;I will never be better than [Root.Liege.GetCastellanName] [Root.Liege.job_castellan.GetTitledFirstName].;Je n’arriverai jamais à la cheville de [Root.Liege.GetCastellanName] [Root.Liege.job_castellan.GetTitledFirstName]. ;Ich werde niemals besser sein als [Root.Liege.GetLordSpiritualName] [Root.Liege.job_castellan.GetTitledFirstName];;Nunca seré mejor que [Root.Liege.GetCastellanName] [Root.Liege.job_castellan.GetTitledFirstName].;;;;;;;;;x
title_concubine;Concubine;Concubine;Konkubine;;Concubina;;;;;;;;;x
title_concubine_desc;Many cultures enjoy a tradition of having a concubine as well a wife. ;Certains souverains s’entourent de concubines afin d’assurer la continuité de leur lignée. Les enfants qui naissent de ces unions sont considérés comme légitimes.;Moslems hatten Harems von vielen Frauen, um die Verlängerung ihrer Linie zu sichern. Konkubinen werden die legitimen Kinder des Herrschers gebären.;;Muchas culturas disfrutan de la tradición de tener concubinas además de una esposa.;;;;;;;;;x
title_revoke_minor_title;Revoke Honorary Title;Révoquer le titre honorifique.;Ehrentitel aberkennen;;Revocar título honorífico;;;;;;;;;x
title_revoke_minor_title_desc;Revoke this character's honorary title and the prestige and income that goes along with it. This will anger them.;Révoquer le titre honorifique de cette personne, ainsi que le prestige et les revenus qui y sont associés. Cela risque de la mettre en colère.;Widerrufen Sie den Ehrentitel dieses Charakters und das Prestige und Einkommen, das zusammen damit geht. Das wird sie ärgern.;;Revocar el título honorífico a este personaje, así como el prestigio y los ingresos asociados a él. Esto lo enfadará.;;;;;;;;;x
title_revoke_court_jester;Revoke Honorary Title;Révoquer le titre honorifique.;Ehrentitel aberkennen;;Revocar título honorífico;;;;;;;;;x
title_revoke_court_jester_desc;Revoke this character's honorary title.;Révoquer le titre honorifique de cette personne.;Ehrentitel aberkannt;;Revocar el título honorífico a este personaje;;;;;;;;;x
EVTDESC300001;Genetics check. You're not supposed to see this.;Vérification génétique. Vous n'êtes pas supposé voir cela.;Genetik überprüfen. Du solltest das nicht sehen !;Genetics check. You're not supposed to see this.;Verificación genética. Supuestamente no deberías ver esto.;;;;;;;;;x
EVTOPTA300001;Sorry;Désolé;Tut mir leid;Sorry;Perdón;;;;;;;;;x
action_oversee_province;Oversee Province;Superviser une province;;;Supervisar provincia;;;;;;;;;x
action_oversee_province_nomadic;Oversee Camps;Superviser un camp;;;Supervisar campo;;;;;;;;;x
action_improve_defenses;Improve Defenses;Améliorer les défenses;;;Mejorar las defensas;;;;;;;;;x
action_pacify_province;Pacify Province;Pacifier une province;;;Pacificar provincia;;;;;;;;;x
action_pacify_province_nomadic;Pacify Camps;Pacifier une province camp;;;Pacificar campo;;;;;;;;;x
EVTDESC20201;My liege, I have collected a tithe in [From.Location.GetName]. The money should reach you together with this letter.\n\nYour humble Castellan,\n[From.GetTitledName];Mon Seigneur, j'ai collecté une taxe extraordinaire à [From.Location.GetName]. L'argent devrait vous parvenir en même temps que cette lettre.\n\nVotre humble châtelain,\n[From.GetTitledName];;;Mi Señor, hemos recolectado un impuesto extraordinario en [From.Location.GetName]. El dinero debería llegarte junto con esta carta.\n\nVuestro humilde Castellano,\n[From.GetTitledName];;;;;;;;;x
EVTDESC20512;My liege, peasants attacked me while collecting taxes in [From.Location.GetName]! They wounded me severely and I barely escaped their wrath.\n\nYour humble Castellan,\n[From.GetTitledName];Mon Seigneur, des paysans m'ont attaqué alors que je collectais des taxes à [From.Location.GetName]! Ils m'ont sévèrement blessé et je n’ai réchappé à leur colère que de justesse.\n\nVotre humble châtelain,\n[From.GetTitledName];;;Mi señor, unos campesinos me atacaron mientras recaudaba impuestos en [From.Location.GetName]! Me han herido gravamente pero he podido escapar por los pelos.\n\nVuestro humilde Castellano,\n[From.GetTitledName];;;;;;;;;x
EVTDESC20513;[Root.GetTitledName], your Castellan [From.GetTitledName] was killed by a mob of angry peasants when trying to collect the extra taxes you had ordered.;[Root.GetTitledName], votre châtelain [From.GetTitledName] a été tué par une foule de paysans en colère alors qu'il tentait de collecter les taxes extraordinaires que vous aviez décrétées. ;;;[Root.GetTitledName], tu Castellano [From.GetTitledName] ha sido asesinado por un grupo de campesinos descontentos mientras recaudaba los impuestos extraordinario que habías ordenado.;;;;;;;;;x
EVTDESC20592;My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover his plot to [FromFrom.GetPlot].\n\nYour humble Castellan,\n[From.GetTitledName];Mon Seigneur,\nCe sont des nouvelles choquantes que je vous rapporte par le biais de cette missive ! [FromFrom.GetTitledName] a tenté de m'assassiner pour s'assurer que je ne découvrirais pas son complot visant à [FromFrom.GetObjective].\n\nVotre humble châtelain,\n[From.GetTitledName];;;Mi Señor,\n Traigo unas sorprendentes noticias, [FromFrom.GetTitledName] intentó matarme para asegurarse que no descubría su complot de [FromFrom.GetObjective].\n\nVuestro humilde Castellano,\n[From.GetTitledName];;;;;;;;;x
