#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_asoiaf_basevalue_1;Small Keep;Petit donjon;Small Keep;Small Keep;Pequeño Torreón;;;;;;;;;x
ca_asoiaf_basevalue_2;Large Keep;Grand donjon;Large Keep;Large Keep;Gran Torreón;;;;;;;;;x
ca_asoiaf_basevalue_3;Small Castle;Petit château;Small Castle;Small Castle;Castillo Pequeño;;;;;;;;;x
ca_asoiaf_basevalue_4;Common Castle;Château ordinaire;Common Castle;Common Castle;Castillo Mediano;;;;;;;;;x
ca_asoiaf_basevalue_5;Large Castle;Grand château;Large Castle;Large Castle;Castillo Grande;;;;;;;;;x
ca_asoiaf_basevalue_6;Huge Fortress;Puissante forteresse;Huge Fortress;Huge Fortress;Fortaleza;;;;;;;;;x
ct_asoiaf_basevalue_1;Small Village;Hameau;Small Village;Small Village;Pequeña Aldea;;;;;;;;;x
ct_asoiaf_basevalue_2;Village;Village;Village;Village;Aldea;;;;;;;;;x
ct_asoiaf_basevalue_3;Small Town;Bourg;Small Town;Small Town;Pueblo Pequeño;;;;;;;;;x
ct_asoiaf_basevalue_4;Large Town;Petite ville;Large Town;Large Town;Pueblo Grande;;;;;;;;;x
ct_asoiaf_basevalue_5;Small City;Ville;Small City;Small City;Ciudad Pequeña;;;;;;;;;x
ct_asoiaf_basevalue_6;Large City;Grande ville;Large City;Large City;Ciudad Grande;;;;;;;;;x
ca_asoiaf_north_basevalue_1;Small Northern Keep;Petit donjon nordien;Small Northern Keep;Small Northern Keep;Pequeño Torreón del Norte;;;;;;;;;x
ca_asoiaf_north_basevalue_2;Large Northern Keep;Grand donjon nordien;Large Northern Keep;Large Northern Keep;Gran Torreón del Norte;;;;;;;;;x
ca_asoiaf_north_basevalue_3;Small Northern Castle;Petit Château nordien;Small Northern Castle;Small Northern Castle;Castillo Pequeño del Norte;;;;;;;;;x
ca_asoiaf_north_basevalue_4;Common Northern Castle;Château nordien ordinaire;Common Northern Castle;Common Northern Castle;Castillo Mediano del Norte;;;;;;;;;x
ca_asoiaf_north_basevalue_5;Large Northern Castle;Grand château nordien;Large Northern Castle;Large Northern Castle;Castillo Grande del Norte;;;;;;;;;x
ca_asoiaf_north_basevalue_6;Huge Northern Fortress;Puissante forteresse nordienne;Huge Northern Fortress;Huge Northern Fortress;Fortaleza del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_1;Small Northern Village;Hameau nordien;Small Northern Village;Small Northern Village;Pequeña Aldea del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_2;Northern Village;Village nordien;Northern Village;Northern Village;Aldea del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_3;Small Northern Town;Bourg nordien;Small Northern Town;Small Northern Town;Pueblo Pequeño del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_4;Large Northern Town;Petite ville nordienne;Large Northern Town;Large Northern Town;Pueblo Grande del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_5;Small Northern City;Ville nordienne;Small Northern City;Small Northern City;Ciudad Pequeña del Norte;;;;;;;;;x
ct_asoiaf_north_basevalue_6;Large Northern City;Grande ville nordienne;Large Northern City;Large Northern City;Ciudad Grande del Norte;;;;;;;;;x
ca_asoiaf_river_basevalue_1;Small Riverlander Keep;Petit donjon du Conflans;Small Riverlander Village;Small Riverlander Village;Pequeño Torreón Ribereño;;;;;;;;;x
ca_asoiaf_river_basevalue_2;Large Riverlander Keep;Grande donjon du Conflans;Riverlander Village;Riverlander Village;Gran Torreón Ribereño;;;;;;;;;x
ca_asoiaf_river_basevalue_3;Small Riverlander Castle;Petit château du Conflans;Small Riverlander Town;Small Riverlander Town;Castillo Pequeño Ribereño;;;;;;;;;x
ca_asoiaf_river_basevalue_4;Common Riverlander Castle;Château du Conflans ordinaire;Large Riverlander Town;Large Riverlander Town;Castillo Mediano Ribereño;;;;;;;;;x
ca_asoiaf_river_basevalue_5;Large Riverlander Castle;Grand château du Conflans;Small Riverlander City;Small Riverlander City;Castillo Grande Ribereño;;;;;;;;;x
ca_asoiaf_river_basevalue_6;Huge Riverlander Fortress;Puissante forteresse du Conflans;Large Riverlander City;Large Riverlander City;Fortaleza Ribereña;;;;;;;;;x
ct_asoiaf_river_basevalue_1;Small Riverlander Village;Hameau du Conflans;Small Riverlander Village;Small Riverlander Village;Pequeña Aldea Ribereña;;;;;;;;;x
ct_asoiaf_river_basevalue_2;Riverlander Village;Village du Conflans;Riverlander Village;Riverlander Village;Aldea Ribereña;;;;;;;;;x
ct_asoiaf_river_basevalue_3;Small Riverlander Town;Bourg du Conflans;Small Riverlander Town;Small Riverlander Town;Pueblo Ribereño Pequeño;;;;;;;;;x
ct_asoiaf_river_basevalue_4;Large Riverlander Town;Petite ville du Conflans;Large Riverlander Town;Large Riverlander Town;Pueblo Ribereño Grande;;;;;;;;;x
ct_asoiaf_river_basevalue_5;Small Riverlander City;Ville du Conflans;Small Riverlander City;Small Riverlander City;Ciudad Ribereña Pequeña;;;;;;;;;x
ct_asoiaf_river_basevalue_6;Large Riverlander City;Grande ville du Conflans;Large Riverlander City;Large Riverlander City;Ciudad Ribereña Grande;;;;;;;;;x
ca_asoiaf_dorne_basevalue_1;Small Dornish Keep;Petit donjon dornien;Small Dornish Keep;Small Dornish Keep;Pequeño Torreón de Dorne;;;;;;;;;x
ca_asoiaf_dorne_basevalue_2;Large Dornish Keep;Grand donjon dornien;Large Dornish Keep;Large Dornish Keep;Gran Torreón de Dorne;;;;;;;;;x
ca_asoiaf_dorne_basevalue_3;Small Dornish Castle;Petit château dornien;Small Dornish Castle;Small Dornish Castle;Castillo Pequeño de Dorne;;;;;;;;;x
ca_asoiaf_dorne_basevalue_4;Common Dornish Castle;Château dornien ordinaire;Common Dornish Castle;Common Dornish Castle;Castillo Mediano de Dorne;;;;;;;;;x
ca_asoiaf_dorne_basevalue_5;Large Dornish Castle;Grand château dornien;Large Dornish Castle;Large Dornish Castle;Castillo Grande de Dorne;;;;;;;;;x
ca_asoiaf_dorne_basevalue_6;Huge Dornish Fortress;Puissante forteresse dornienne;Huge Dornish Fortress;Huge Dornish Fortress;Fortaleza de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_1;Small Dornish Village;Hameau dornien;Small Dornish Village;Small Dornish Village;Pequeña Aldea de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_2;Dornish Village;Village dornien;Dornish Village;Dornish Village;Aldea de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_3;Small Dornish Town;Bourg dornien;Small Dornish Town;Small Dornish Town;Pueblo Pequeño de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_4;Large Dornish Town;Petite ville dornienne;Large Dornish Town;Large Dornish Town;Pueblo Grande de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_5;Small Dornish City;Ville dornienne;Small Dornish City;Small Dornish City;Ciudad Pequeña de Dorne;;;;;;;;;x
ct_asoiaf_dorne_basevalue_6;Large Dornish City;Grande ville dornienne;Large Dornish City;Large Dornish City;Ciudad Grande de Dorne;;;;;;;;;x
ca_asoiaf_ironislands_basevalue_1;Small Iron Islands Keep;Petit donjon fer-né;Small Iron Islands Keep;Small Iron Islands Keep;Pequeño Torreón de las Islas del Hierro;;;;;;;;;x
ca_asoiaf_ironislands_basevalue_2;Large Iron Islands Keep;Grand donjon fer-né;Large Iron Islands Keep;Large Iron Islands Keep;Gran Torreón de las Islas del Hierro;;;;;;;;;x
