#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCcadet.1;What will you call this new Cadet House?;Comment allez-vous appeler cette nouvelle maison cadette ?;;;Cómo vas a llamar a esta nueva casa menor?;;;;;;;;;x
EVTOPTAcadet.1;House Whitewolf;Maison Nersnow;;;Casa Whitewolf;;;;;;;;;x
EVTOPTBcadet.1;House Goldfang;Maison Orstark;;;Casa Goldfang;;;;;;;;;x
EVTOPTCcadet.1;House Dreadwolf;Maison Granstark;;;Casa Dreadwolf;;;;;;;;;x
EVTOPTDcadet.1;House Winterhold;Maison Forstark;;;Casa Winterhold;;;;;;;;;x
EVTOPTAcadet.2;House Redwyrm;Maison Rougefeu;;;Casa Redwyrm;;;;;;;;;x
EVTOPTBcadet.2;House Truedrake;Maison Dragonoyr;;;Casa Truedrake;;;;;;;;;x
EVTOPTCcadet.2;House Fyreblood;Maison Rougedragon;;;Casa Fyreblood;;;;;;;;;x
EVTOPTDcadet.2;House Goldfyre;Maison Ordragon;;;Casa Goldfyre;;;;;;;;;x
EVTOPTAcadet.3;House Silvermane;Maison Lannhill;;;Casa Silvermane;;;;;;;;;x
EVTOPTBcadet.3;House Redclaw;Maison Tylann;;;Casa Redclaw;;;;;;;;;x
EVTOPTCcadet.3;House Roaring;Maison Orlion;;;Casa Roaring;;;;;;;;;x
EVTOPTDcadet.3;House Lionford;Maison Grifferouge;;;Casa Loinford;;;;;;;;;x
EVTOPTAcadet.4;House Darksun;Maison Solnoir;;;Casa Darksun;;;;;;;;;x
EVTOPTBcadet.4;House Sunviper;Maison Vipère;;;Casa Sunviper;;;;;;;;;x
EVTOPTCcadet.4;House Blackadder;Maison Neraspic;;;Casa Blackadder;;;;;;;;;x
EVTOPTDcadet.4;House Snakespear;Maison Sandaspic;;;Casa Sankerspear;;;;;;;;;x
EVTOPTAcadet.5;House Redriver;Maison Riversaigues;;;Casa Redriver;;;;;;;;;x
EVTOPTBcadet.5;House Darkfish;Maison Nertruite;;;Casa Darkfish;;;;;;;;;x
EVTOPTCcadet.5;House Goldfish;Maison Ortruite;;;Casa Goldfish;;;;;;;;;x
EVTOPTDcadet.5;House Steeltrout;Maison Ecailles;;;Casa Steeltrout;;;;;;;;;x
EVTOPTAcadet.6;House Redwing;Maison Rougestone;;;Casa Redwing;;;;;;;;;x
EVTOPTBcadet.6;House Kestrel;Maison Oroyseau;;;Casa Kestrel;;;;;;;;;x
EVTOPTCcadet.6;House Bluebird;Maison Serrazur;;;Casa Bluebird;;;;;;;;;x
EVTOPTDcadet.6;House Skywarden;Maison Oyseaunoir;;;Casa Skywarden;;;;;;;;;x
EVTOPTAcadet.7;House Stagborn;Maison Durstorm;;;Casa Stagborn;;;;;;;;;x
EVTOPTBcadet.7;House Stormhart;Maison Biche;;;Casa Stormhart;;;;;;;;;x
EVTOPTCcadet.7;House Durrande;Maison Durrande;;;Casa Durrande;;;;;;;;;x
EVTOPTDcadet.7;House Deer;Maison Orbois;;;Casa Deer;;;;;;;;;x
EVTOPTAcadet.8;House Bloodrose;Maison Belflowers;;;Casa Bloodrose;;;;;;;;;x
EVTOPTBcadet.8;House Blackrose;Maison Rosenoyr;;;Casa Blackrose;;;;;;;;;x
EVTOPTCcadet.8;House Smallrose;Maison Orose;;;Casa Smallrose;;;;;;;;;x
EVTOPTDcadet.8;House Greenrose;Maison Neufjardin;;;Casa Greenrose;;;;;;;;;x
EVTOPTAcadet.9;House Silverink;Maison Noirpyke;;;Casa Silverink;;;;;;;;;x
EVTOPTBcadet.9;House Redjoy;Maison Rougefer;;;Casa Redjoy;;;;;;;;;x
EVTOPTCcadet.9;House Ironkraken;Maison Nerjoy;;;Casa Ironkraken;;;;;;;;;x
EVTOPTDcadet.9;House Hardman;Maison Ferjoy;;;Casa Hardman;;;;;;;;;x
EVTOPTAcadet.13;House Twinchild;Maison Jumeau;;;Casa Twinchild;;;;;;;;;x
EVTOPTBcadet.13;House Goldcross;Maison Orpont;;;Casa Goldcross;;;;;;;;;x
EVTOPTCcadet.13;House Tollbridge;Maison Frivers;;;Casa Tollbridge;;;;;;;;;x
EVTOPTDcadet.13;House Northgate;Maison Noirpont;;;Casa Northgate;;;;;;;;;x
EVTDESCcadet.10;The bond your cadet house has with its creator is thicker than water.;Le lien qu'a votre famille cadette avec la branche principale est indéfectible.;;;El vínculo que su rama cadete tiene con la casa principal es inquebrantable.;;;;;x;;;;
EVTOPTAcadet.10;Ok;Ok;GERMAN;;Ok;;;;;;;;;x
cadet_bastard;Give a Cadet Dynasty;Créer une dynastie cadette;GERMAN;;Crear una dinastía menor para [Root.GetBestName];;;;;;;;;x
cadet_bastard_desc;[Root.GetBestName] will become head of a new dynasty and is promised a title.;[Root.GetBestName] deviendra le chef d'une nouvelle dynastie et se verra promettre un titre. ;GERMAN;;[Root.GetBestName] se convertirá en el cabeza de una nueva dinastía y se promete un título.;;;;;;;;;x
EVTOPTAcadet.11;House North;Maison Nordier;GERMAN;;Casa Norte;;;;;;;;;x
EVTOPTBcadet.11;House South;Maison Sudron;GERMAN;;Casa Sur;;;;;;;;;x
EVTOPTCcadet.11;House West;Maison Ouestan;GERMAN;;Casa Este;;;;;;;;;x
EVTOPTDcadet.11;House East;Maison Estard;GERMAN;;Casa Oeste;;;;;;;;;x
legitimise_not_bastard_cadet;Acknowledge a Cadet Dynasty;Reconnaître une branche cadette;;;Reconocer una rama cadete;;;;;;;;;x
legitimise_not_bastard_cadet;One of your kinsman was granted a cadet dynasty and its own land and name to rule. However House [From.GetOnlyDynastyName] desperately needs an heir and they can provide one...;Reconnaître une branche cadette;;;Uno de vuestros parientes a recibido el derecho de fundar una dinastía, de dirigir sus propias tierras y de llevar su propio apellido. Sin embargo, la casa [From.GetOnlyDynastyName] necesita desesperadamente un heredero y  esta rama cadete puede proporcionarlo...;;;;;;;;;x
