poor_warrior;Poor Fighter;Mauvais combattant;;;Luchador malo;;;;;;;;;x
trained_warrior;Trained Fighter;Combattant entraîné;;;Luchador competente;;;;;;;;;x
skilled_warrior;Skilled Fighter;Combattant talentueux;;;Luchador habilidoso;;;;;;;;;x
master_warrior;Formidable Fighter;Combattant formidable;;;Luchador legendario;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;;;Este personaje entiende las bases del combate pero es descuidado, muestra exceso de confianza y es inexperto.;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement aux arts de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;;;Este personaje ha recibido entrenamiento en el arte del combate. No es un maestro, pero se desenreda en una pelea.;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;;;Este personaje posee cierto talento para la batalla y el manejo de la espada.;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the known world, favored by the gods and dreaded on the battlefield.;Ce personnage est l'une des plus fines lames de Westeros, il est favorisé par les dieux et redouté sur le champs de bataille. ;;;Este personaje es uno de los grandes guerreros de todo Poniente, favorecido por los dioses y temido en el campo de batalla.;;;;;;;;;x
EVTDESCcombat_trait.1;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le has pedido a [Root.Guardian.GetTitledFirstName] que te enseñe a luchar con la espada;;;;;;;;;x
EVTOPTAcombat_trait.1;Stick 'em with the pointy end!;Frappez-les d’estoc. ;;;Ensártalos con la punta;;;;;;;;;x
#EVTDESC550101;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le has pedido a [Root.Guardian.GetTitledFirstName] que te enseñe a luchar con la espada;;;;;;;;;x
#EVTDESC550103;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;Vous voulez que [Root.Guardian.GetTitledFirstName]vous aide à vraiment maîtriser l'art du combat à l'épée ! ;;;Quieres que [Root.Guardian.GetTitledFirstName] te entrene para ser un auténtico maestro con la espada;;;;;;;;;x
EVTDESCcombat_trait.2;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;;;Gracias a mis consejos, mi joven [GetFromRelation], [From.GetFirstName], comienza lentamente a aprender el arte del combate con espadas.;;;;;;;;;x
EVTDESCcombat_trait.3;My [GetFromRelation] has not improved [From.GetHerHis] swordsmanship skills during [From.GetHerHis] training...;Les talents à l'épée de mon(a) [GetFromRelation] ne se sont pas améliorés malgré l'entraînement… ;;;La habilidad con la espada de mi [From.GetFromRelation] no mejora a pesar del entrenamiento...;;;;;;;;;x
EVT_OPT_combat_trait.3_ambitious;[From.GetSheHeCap] show lots of ambition despite this;Cependant [From.GetSheHe] montre beaucoup d'ambition.;;;Sin embargo [From.GetSheHe] muestra mucha ambición.;;;;;;;;;x
EVT_OPT_combat_trait.3_slothful;[From.GetSheHeCap] doesn't even seem to be trying;Et [From.GetSheHe] ne semble même pas essayer.;;;Y [From.GetSheHe] ni siquiera lo intenta.;;;;;;;;;x
EVT_OPT_combat_trait.3_brave;But [From.GetHerHis] bravery is clear;Mais [From.GetSheHe] est brave.;;;Pero [From.GetSheHe] es valiente.;;;;;;;;;x
EVT_OPT_combat_trait.3_ruthless;Yet, [From.GetSheHe] seems prepared and eager to improve;Mais [From.GetSheHe] semble prêt(e) à tout pour s'améliorer. ;;;Pero [From.GetSheHe] está dispuesto a todo para mejorar.;;;;;;;;;x
EVT_OPT_combat_trait.3_intrigue;[From.GetSheHeCap] seems to be a cunning fighter though;[From.GetSheHeCap] semble être un combattant rusé.;;;[From.GetSheHe] parece un luchador astuto.;;;;;;;;;x
EVT_OPT_combat_trait.3_maimed;Worse, [From.GetSheHe] fell from [From.GetHerHis] horse and is grievously injured;Pire encore, [From.GetSheHe] est tomb é de cheval et s'est grièvement blessé.;;;Peor aún, [From.GetSheHe] se cayó del caballo y está gravemente herido.;;;;;;;;;x
EVT_OPT_combat_trait.3_wounded;Even worse, you were over-zealous and injured your [GetFromRelation];Pire encore, vous avez montré trop de zèle et avez blessé votre [From.GetFromRelation].;;;Peor aún, has sido demasiado protector y has herido a tu [From.GetFromRelation].;;;;;;;;;x
EVT_OPT_combat_trait.3_diligent;Even though [From.GetSheHe] has not improved, [From.GetSheHe] show lots of determination;Bien qu'[From.GetSheHe] n'est pas progressé, [From.GetSheHe] a montré une grande ambition.;;;A pesar de que [From.GetSheHe] no ha progresado, [From.GetSheHe] ha demostrado una gran ambición.;;;;;;;;;x
EVT_OPT_combat_trait.3_no_progress;Maybe next time [From.GetSheHe] will improve;Peut-être que la prochaine fois [From.GetSheHe] s'améliorera.;;;Quizá la próxima vez [From.GetSheHe] mejorará.;;;;;;;;;x
EVT_OPT_combat_trait.3_homosexual;[From.GetSheHeCap] seems to be enjoying the training a little too much...;Pour l'instant [From.GetSheHe] semble un peu trop apprécier l'entraînement…;;;De momento [From.GetSheHe] parece que disfuta entrenando.;;;;;;;;;x
EVT_OPT_combat_trait.3_stewardship;Instead [From.GetSheHe] is more interested in the cost of the armour;[From.GetSheHeCap] semble plus interessé par le coût de l'armure.;;;[From.GetSheHeCap] parece más interesado en el coste de la armadura.;;;;;;;;;x
EVTDESCcombat_trait.4;I didn't manage to improve my swordsman skills!;Je ne suis pas parvenu à améliorer mes talents à l'épée !;;;No soy capaz de mejorar mi habilidad con la espada!;;;;;;;;;x
EVT_OPT_combat_trait.4;Maybe next time I shall!;Peut-être que j'y parviendrai la prochaine fois. ;;;Tal vez lo logre la próxima vez.;;;;;;;;;x
EVTDESCcombat_trait.5;By forcing my [GetFromRelation] to fight, I made [From.GetHerHim] a better [From.GetManWoman]!;En forçant mon(a) [GetFromRelation] à se battre, j'en ai fait un(e) meilleur(e) [From.GetManWoman]!;;;Forzando mi [From.GetFromRelation]a luchar, Hice [From.GetHerHim] un mejor [From.GetManWoman]!;;;;;;;;;x
EVT_OPT_combat_trait.5_ruthless;Yet [From.GetSheHe] seems to be willing to do anything to win;Pour l'instant [From.GetSheHe] semble vouloir tout faire pour l'emporter.;;;De momento [From.GetSheHe] parece hacer todo para lograrlo.;;;;;;;;;x
EVT_OPT_combat_trait.5_brave;And [From.GetSheHe] shows considerable bravery;Et [From.GetSheHe] fait montre d'une grande bravoure.;;;Y [From.GetSheHe] muestra una gran valentía.;;;;;;;;;x
EVT_OPT_combat_trait.5_wroth;However, [From.GetSheHe] resents your insistence on training;Cependant, [From.GetSheHe] vous en veut d'être aussi exigeant(e). ;;;Sin embargo, [From.GetSheHe] se ofende por tu insistencia en el entrenamiento.;;;;;;;;;x
EVT_OPT_combat_trait.5_martial;And [From.GetHerHis] understanding of theoretical warfare is better;Il semble que sa compréhension de la guerre et de ses stratégies soit bonne.;;;Ahora [From.GetHerHis] comprende los fundamentos y estrategias de la guerra.;;;;;;;;;x
EVT_OPT_combat_trait.5_cruel;However, [From.GetSheHe] often has to be pulled of weaker opponents;Cependant, [From.GetSheHe] a souvent rencontré des adversaires plus faibles.;;;Sin embargo, [From.GetSheHe]ha solido luchar con rivales más débiles que él.;;;;;;;;;x
EVT_OPT_combat_trait.5_nothing;The training is evidently paying off!;L'entraînement est entrain de payer !;;;El entrenamiento está dando sus frutos!;;;;;;;;;x
EVT_OPT_combat_trait.5_lustful_man;Many of the maids around the court are playing attention to him now;Désormais, nombre de jouvencelles de la cour semblent lui prêter attention.;;;Muchas doncellas de la corte le prestan atención.;;;;;;;;;x
EVT_OPT_combat_trait.5_lustful_woman;Many of the lads around court are paying attention to her now;Désormais, nombre de jeunes hommes de la cour semblent lui prêter attention.;;;Muchos mozos de la corte le prestan atención.;;;;;;;;;x
EVTDESCcombat_trait.6;My father forced me to train with him... I didn't want to, but I did learn something. Luckily I didn't get hurt!;Mon père m'a forcé à m'entrainer avec lui… Je ne voulais pas, mais j'ai appris quelque chose. Heureusement, je n'ai pas été blessé !;;;Mi padre me ha obligado a entrenarme con él. No quería, pero aprendí un poco. Milagrosamente, no he acabado herido!;;;;;;;;;x
EVTOPTAcombat_trait.6;I am glad I have improved.;Je suis content de m'être amélioré.;;;Me alegro de haber mejorado.;;;;;;;;;x
force_train_son_1;Force to Train;Forcer à s'entrainer.;;;Obligar a [This.GetTitledFirstName] a entrenar;;;;;;;;;x
force_train_son_2;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a [This.GetTitledFirstName] a entrenar;;;;;;;;;x
force_train_son_3;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a  [This.GetTitledFirstName] a entrenar;;;;;;;;;x
force_train_son_4;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a  [This.GetTitledFirstName] a entrenar;;;;;;;;;x
force_train_son_1_desc;As [Root.GetHerHis] [GetFromRelation] you can force [Root.GetTitledFirstName] to learn how to fight, by teaching [Root.GetHerHim] yourself.;En tant que son(a) [GetFromRelation] vous pouvez forcer [This.GetTitledFirstName] à apprendre à se battre en lui enseignant vous-même.;;;Como es tu [GetFromRelation] puedes obligar a  [This.GetTitledFirstName] a aprender a luchar, enseñándole tú mismo.;;;;;;;;;x
force_train_son_2_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;Forcer [This.GetBestName] à continuer d'apprendre à se battre, en lui enseignant vous-même. ;;;Obligar a [This.GetBestName] a que continúe aprendiendo a luchar, enseñándole tu mismo.;;;;;;;;;x
