skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x
drown_decision;Drown Prisoner;Noyer le prisonnier;;;Ahogar a [Root.GetTitledFirstName];;;;;;;;;x
skin_decision_desc;Boltons have a long history of flaying prisoners, if we should do this to [Root.GetBestName] and give [Root.GetHerHim] an agonising death it would surely be a great warning to our enemies.;Les Bolton ont une longue tradition d'écorchement de prisonniers, si nous devions l'appliquer à [Root.GetBestName] et lui faire subir une telle agonie, ce serait sûrement un grand avertissement pour nos ennemis.;;;Los Bolton tienen una larga tradición de desollar a los prisioneros, si desollamos a [Root.GetBestName] para que muera agonizando será una gran advertencia para nuestros enemigos.;;;;;;;;;x
drown_decision_desc;The Drowned God looks favourably upon sacrifices to him, we should tie up [Root.GetBestName] to the sands at low tide and slowly let the Drowned God take [Root.GetHerHim] beneath the sea.;Le Dieu Noyé apprécie les sacrifices, nous devrions ligoter [Root.GetBestName] sur le sable à marée basse et laisser le Dieu Noyé l'emmener lentement sous la mer.;;;El Dios Ahogado aprecia los sacrificios, deberíamos atar a [Root.GetBestName] a la arena durante la marea baja y poco a poco dejar que el Dios Ahogado lo lleve a las estancias acuosas.;;;;;;;;;x
TOOLTIPINCREASETYRANY1;Your Tyranny will increase by one level\n;Votre Tyrannie augmentera de un niveau\n;;;Tu tiranía se incrementará en un nivel\n;;;;;;;;;x
TOOLTIPINCREASETYRANY2;Your Tyranny will increase by two levels\n;Votre Tyrannie augmentera de deux niveaux\n;;;Tu tiranía se incrementará en dos niveles\n;;;;;;;;;x
EVTDESC509128;Boltons have a long history of flaying prisoners, if we should do this to [From.GetBestName] and give [From.GetHerHim] an agonising death it would surely be a great warning to our enemies.;La tradition des Bolton veut qu'ils écorchent leurs prisonniers. Si nous le faisions à [From.GetBestName] avant de lui donner la mort de façon si douloureuse, cela serait sûrement un terrible avertissement à destination des nos ennemis.;;;Los Bolton tienen una larga tradición de desollar a los prisioneros, si desollamos a [Root.GetBestName] para que muera agonizando será una gran advertencia para nuestros enemigos.;;;;;;;;;x
EVTOPTA509128;Yes, it must be done;Oui, cela doit être fait.;;;Sí, es lo que se ha de hacer.;;;;;;;;;x
EVTOPTB509128;No, I will give [From.GetHerHim] a quick death;Non, je vais lui octroyer une mort rapide.;;;No, daré a  [From.GetHerHim] una muerte rápida.;;;;;;;;;x
EVTDESC50028;You have decided [FromFrom.GetTitledFirstName] will not escape the customary flaying. You've had your goaler strip the skin off of [FromFrom.GetHerHim], the screams were to be heard throughout the castle. But now we have a fine [FromFrom.GetOnlyDynastyName] skin, and the fear of our enemies....;Vous avez décidé que [FromFrom.GetTitledFirstName] n'échapperait pas à l'écorchage ! Sur votre ordre, le geôlier lui a arraché la peau, ses cris ont été entendus dans tout le château. Mais maintenant nous avons une superbe peau de [FromFrom.GetOnlyDynastyName], et la crainte de nos ennemis...;;;Ordenaste que desollaran a [From.GetTitledFirstName]. Mientras el carcelero rasgaba su piel, los gritos se escuchaban por todo el castillo. Ahora tenemos una fina piel de [From.GetOnlyDynastyName], y el temor de nuestros enemigos....;;;;;;;;;x
EVTOPTA50028;That will teach them!;Ça leur apprendra !;;;Eso les enseñará!;;;;;;;;;x
EVTDESC50029;The door to your dank cell opens, and the goaler walks in with a wicked smile on his face. He has brought with him a set of rusty, but deadly sharp blades and says '[From.GetTitledFirstName] has ordered that you are to be flayed alive, as just warning to House [From.GetOnlyDynastyName]'s enemies.' The pain is agonising, death cannot come soon enough....;"La porte de votre cellule s'ouvre, et le geôlier s'avance en souriant méchamment. Il a amené plusieurs lames rouillées mais mortellement acérées et dit ""[From.GetTitledFirstName] a ordonné que vous soyez écorché vif, comme avertissement aux ennemis de la Maison [From.GetOnlyDynastyName]."" La douleur est atroce, la mort ne saurait tarder...";;;La puerta de tu celda húmeda se abre, y el carcelero entra con una sonrisa maliciosa en su rostro. Trae consigo un conjunto de cuchillas oxidadas, pero muy afiladas y dice '[From.GetTitledFirstName] ha ordenado desollarte vivo como advertencia para los enemigos de los [From.GetOnlyDynastyName]. El dolor es atroz, la muerte está tardando mucho en llegar...;;;;;;;;;x
EVTOPTA50029;No! give me a clean death!;Non ! Donnez-moi une mort propre !;;;¡No! dame una muerte limpia!;;;;;;;;;x
flayed;Flayed Alive;Écorché vif;;;Desollado vivo;;;;;;;;;x
flayed_desc;This character met their end by being flayed alive, a most agonising torture;Ce personnage a fini écorché vif, une torture atroce.;;;Este personaje fue desollado vivo, una tortura atroz.;;;;;;;;;x
EVTDESC5000028;You have had the young [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] flayed alive, does your cruelty know no bounds?;Vous avez fait écorcher le jeune [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. Votre cruauté serait-elle donc sans limite ?;;;Has desollado a [From.GetFirstName] [From.GetOnlyDynastyName] vivo. ¿Tu crueldad no tienen límites?;;;;;;;;;x
EVTOPTA5000028;Even children are not safe from my justice;Même les enfants ne sont pas à l'abri de ma justice.;;;Incluso los niños no están a salvo de mi justicia;;;;;;;;;x
