#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Province cultures will never be converted.;Les cultures provinciales ne seront jamais converties;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_RARE_DESC;Province cultures will rarely converted, a factor of six slower than Vanilla.;Les cultures provinciales seront rarement converties, avec un facteur six fois plus lent que la vanilla (version de base);;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_VANILLA;Vanilla;Vanilla (Version de base du jeu);;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_VANILLA_DESC;Province cultures will be converted the same as in Vanilla.;Les cultures provinciales seront converties à la même vitesse que la vanilla (version de base);;;;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_FASTER_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is increased by a factor of two.;La vitesse avec laquelle les comtés sont convertis à l'aide de l'action ‘prosélyte’ est accrue d'un facteur 2;;;;;;;;;;;;x
RULE_OPTION_FASTER;Faster;Plus rapidement;;;;;;;;;;;;x
RULE_CK2_VERSION_WARNING;CK2 Version Warning;Avertissement de la version CK2;;;;;;;;;;;;x
RULE_CK2_VERSION_WARNING_ON_DESC;You will recieve a warning event if your checksum is not correct, disable this setting if you are using any submods or alterations to the main mod that are intentional.;Vous recevrez un avertissement si votre cheksum n'est pas correct. Désactivez cette option si vous utilisez un mod secondaire ou des modifications du mod principal qui sont intentionnelles.;;;;;;;;;;;;x
RULE_CK2_VERSION_WARNING_OFF_DESC;You will §RNOT§! recieve a warning event if your checksum is not correct, enable this setting if you are using any submods or alterations to the main mod that are intentional. Mod version: §G1.3.2§!, compatible with CK2 §G2.6.3§!;Vous §RNE§! Recevrez §RPAS§! D'avertissement si votre checksum est incorrect, Activez cette option si vous utilisez un mod secondaire ou des modifications du mod principal qui sont intentionnelles. Mod version: §G1.3.1§!, compatible avec CK2 §G2.6.3§!;;;;;;;;;;;;x
RULE_MEGA_WARS;Mega-Wars;Méga-guerres;;;;;;;;;;;;x
RULE_MEGA_WARS_ON_DESC;Mega-wars will occur when an emperor tier ruler goes to war, the realm fractures and the great houses must decide whether to support the Empire, the rebellion, strike out on their own, or to stay neutral and bide their time.;Les méga-guerres se produisent lorsqu'un souverain de niveau 'empereur' part en guerre, les fractions du domaine et les grandes maisons doivent décider si elles soutiennent l'empereur, la rébellion, attaquent leur propriété, ou restent neutres et attendent le bon moment.;;;;;;;;;;;;x
RULE_MEGA_WARS_OFF_DESC;Mega-wars will §RNOT§! occur when an emperor tier ruler goes to war, the realm will not fracture and wars will occur normally.;Les méga-guerres ne se produisent §RPAS§! lorsqu'un souverain de niveau 'empereur' part en guerre, le domaine ne se fracture pas et la guerre se passe normalement.;;;;;;;;;;;;x
RULE_WHITE_WALKERS;White Walkers;Marcheurs blancs;;;;;;;;;;;;x
RULE_WHITE_WALKERS_ON_DESC;The White Walkers can invade and will do so during later bookmarks.;Les marcheurs blancs peuvent envahir et font de même lors de bookmarks ultérieurs.;;;;;;;;;;;;x
RULE_WHITE_WALKERS_OFF_DESC;The White Walkers can §RNOT§! invade and will be removed from the game on start up in later bookmarks.;Les marcheurs blancs ne peuvent §RPAS§! envahir et seront retirés du jeu lors de bookmarks ultérieurs.;;;;;;;;;;;;x
RULE_WHITE_WALKERS_CANON_DESC;The White Walkers will invade around the time as in canon, that is the first severe winter after 8290.;Les marcheurs blancs envahissent à une date proche du canon des livres, c'est-à-dire lors du premier hiver rigoureux après 8290.;;;;;;;;;;;;x
RULE_WHITE_WALKERS_HARD;Harder;Plus difficike;;;;;;;;;;;;x
RULE_WHITE_WALKERS_HARD_DESC;The White Walkers will have §Ytwice§! as many troops when they initially invade and any subsequent troops gains from events will also be §Ytwice§! the size of normal.;Les Marcheurs blancs ont §Ydeux fois plus§! de troupes quand ils envahissent la première fois et des événements peuvent leur donner des troupes supplémentaires pour une valeur §Ydouble§! de la normale.;;;;;;;;;;;;x
RULE_NON_LORE_INVASIONS;Non-Lore Invasions;Invasions inexistantes historiquement.;;;;;;;;;;;;x
RULE_NON_LORE_INVASIONS_ON_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will occur.;Invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été.;;;;;;;;;;;;x
