#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC64420;Who amongst my loyal vassals will dutifully lend money to his Liege Lord?;Qui parmi mes vassaux accepterait de me prêter quelque argent ?;;;Quién de mis vasallos estaría dispuesto a prestarme algo de dinero?;;;;;;;;;x
EVTOPTA64420;It's our duty, send a raven!;Envoyez les corbeaux !;;;Es nuestro deber, enviad un cuervo!;;;;;;;;;x
EVTOPTB64420;Hmmm ... I don't think we owe that much to our Lord.;Hmmmm… non;;;Hmmm... No creo que le debamos mucho a nuestro señor.;;;;;;;;;x
EVTDESC64421;Your Liege Lord demands a money contribution from you.;Votre seigneur lige vous demande de l'argent;;;Tu Señor Feudal te pide dinero;;;;;;;;;x
EVTOPTA64421;So be it: it's our duty.;Qu'il en soit ainsi;;;Que así sea, es nuestro deber.;;;;;;;;;x
EVTOPTB64421;We're not peasants. Whilst he can ask for our swords, he has no rule on our coffers.;Nous ne sommes pas des paysans. Il peut demander nos épées mais ne règne pas sur nos coffres !;;;No somos campesinos. Podrá pedir nuestras espadas, pero no nuestros cofres;;;;;;;;;x
EVTDESC64422;Here is your money.;Voilà votre argent;;;Aquí está el dinero.;;;;;;;;;x
EVTOPTA64422;I'd rather buy myself a new dragonbone backscratcher...;Je vais m'acheter un nouveau gratte-dos en os de dragon;;;Voy a comprarme un nuevo rascador de huesodragón.;;;;;;;;;x
EVTDESC64423;I don't have any money for you: go beg somewhere else!;Pour vous, mes coffres sont vides;;;Para vos, mis cofres están vacíos;;;;;;;;;x
EVTOPTA64423;Skinflint!;Radin !;;;Rácano!;;;;;;;;;x
EVTDESC64425;Now that I have offended these money lenders, who knows what they'll do?;Maintenant que j'ai offensé ces usuriers, qui sait ce qu'ils vont entreprendre à mon encontre ?;;;Ahora que he ofendido a estos usureros, quién sabe lo que harán?;;;;;;;;;x
EVTDESC64424;A loan is coming due;Un prêt arrive à son terme;;;Un préstamo llega a su vencimiento.;;;;;;;;;x
EVTOPTA64424;I'll pay...;Je payerai…;;;Pagaré...;;;;;;;;;x
EVTOPTB64424;They won't strangle me with their outrageously high interest rates!;L'usure est un péché !;;;No me estrangularán con sus escandalosamente altas tasas de intereses!;;;;;;;;;x
EVTOPTA64425;Who cares?;Je m'en fiche;;;A quién le importa?;;;;;;;;;x
