#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_merc_inf_1;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_2;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_3;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_4;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_5;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_6;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_7;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_8;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_9;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_10;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_11;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_12;Sellsword Infantry;Reîtres;;;Infantería mercenaria;;;;;;;;;x
d_merc_inf_13;Ironborn Raiders;Razzieurs Fer-nés;;;Incursores del Hierro;;;;;;;;;x
d_merc_dornishspears_1;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_dornishspears_2;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_dornishspears_3;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_dornishspears_4;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_dornishspears_5;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_dornishspears_6;Dornish Spearmen;Piquiers Dorniens;;;Piqueros dornienses;;;;;;;;;x
d_merc_hedgeknight_1;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_2;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_3;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_4;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_5;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_6;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_7;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_8;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_9;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_hedgeknight_10;Hedgeknights;Chevaliers Errants;;;Caballeros errantes;;;;;;;;;x
d_merc_fleet_1;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_2;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_3;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_4;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_5;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_6;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_7;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_8;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_9;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
d_merc_fleet_10;Sellsail Fleet;Flotte Mercenaire;;;Infantería mercenaria;;;;;;;;;x
CAPTAINGENERAL;Captain-General;Capitaine Général;;;Capitán General;;;;;;;;;x
d_golden_company;The Golden Company;La Compagnie Dorée;;;La Compañía Dorada;;;;;;;;;x
employ_golden_company;Try to Employ The Golden Company;Tenter d'engager la Compagnie Dorée;;;Intentar reclutar a la Compañía Dorada;;;;;;;;;x
