#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCtraditional_claims.2;I am the rightful ruler of the Seven Kingdoms and King's Landing is an integral part of that title. It should be mine.;Je suis le souverain légitime des Sept Couronnes, et Port-Réal fait partie intégrante de ce titre. Elle devrait m'appartenir.;;;Soy el soberano legítimo de los Siete Reinos y Desembarco del Rey es parte integrante de este título. Debería ser mío.;;;;;;;;;x
EVTOPTAtraditional_claims.2;It is my city;Cette ville est mienne;;;Esta es mi ciudad;;;;;;;;;x
EVTDESCtraditional_claims.3;House Targaryen has ruled Westeros since Aegon's Conquest. We united the Seven Kingdoms into one. We built King's Landing. We forged the Iron Throne. And we will not let our birthright slip away.;La Maison Targaryen a gouverné Westeros depuis la Conquête d'Aegon. Nous avons uni les Sept Couronnes en un seul Royaume. Nous avons construit Port-Réal. Nous avons forgé le Trône de Fer. Nous n'abandonnerons pas nos droits naturels.;;;La Casa Targaryen ha gobernado Poniente desde la Conquista de Aegon. Unificamos los Siete Reinos. Construímos Desembarco del Rey. Nosotros forjamos el Trono de Hierro y no abandonaremos nuestros derechos de nacimiento.;;;;;;;;;x
EVTOPTAtraditional_claims.3;Fire and blood!;Feu et Sang !;;;Fuego y sangre!;;;;;;;;;x
EVTDESCtraditional_claims.4;House Stark traces our descent back to Brandon the Builder. We have ruled the North and safeguarded the traditions of the First Men for eight thousand years. Winterfell and the North are ours, and none shall ever take them from us.;La Maison Stark est vieille et nos ancêtres remontent à Brandon le Bâtisseur. Nous avons gouverné le Nord et sauvegardé les traditions des Premiers Hommes pendant huit mille ans. Winterfell et le Nord sont à nous, et personne ne nous les prendra jamais.;;;La Casa Stark se remonta a los tiempos de Brandon el Constructor. Hemos gobernado el Norte y salvaguardado las tradiciones de los primeros hombres durante ocho mil años. Invernalia y el Norte son nuestros, y nadie podrá arrebatárnoslo.;;;;;;;;;x
EVTOPTAtraditional_claims.4;Winter is coming.;L'hiver vient.;;;Se acerca el invierno.;;;;;;;;;x
EVTDESCtraditional_claims.5;When Harrenhal burned, the Ironborn chose Vickon Greyjoy to rule over them. We carry the blood of the Grey King himself. We won't sit idly by and watch our birthright slip away, not while we have the strength to take it back.;Lorsque Harrenhal fut brûlé, les Fer-Nés choisirent Vickon Greyjoy pour les gouverner. Le sang du Roi Gris coule dans nos veines. Nous ne resterons pas passifs tandis que nos droits naturels sont bafoués, nous lutterons jusqu'au bout pour que ce qui nous appartient nous revienne à nouveau.;;;Cuando Harrenhal ardió, los hijos del hierro eligierón a Vickon Greyjoy para gobernar sobre ellos. Llevamos la sangre del propio Rey Gris. No vamos a quedarnos de brazos cruzados y ver como nuestro derecho se esfuma, no mientras tengamos fuerza para recuperarlo.;;;;;;;;x;
EVTOPTAtraditional_claims.5;We do not sow.;Nous ne semons pas. ;;;Nosotros no sembramos.;;;;;;;;;x
EVTDESCtraditional_claims.6;King Aegon himself gave the Riverlands to Edmyn Tully, after he freed them from the tyranny of the Ironmen. The Tullies ruled from Riverrun for three hundred years. If anyone has claim to these lands, it is us!;Le Roi Aegon lui-même a donné le Conflans à Edmyn Tully après qu'il l'a libéré des Fer-Nés. Les Tully ont dirigé Vivesaigues pendant trois cents ans. Si quelqu'un a des revendications sur ces terres, c'est bien nous !;;;El propio rey Aegon dio las Tierras de los Ríos a Edmyn Tully, después de que los liberara de la tiranía de los hijos del hierro. Los Tully gobernaron Aguasdulces durante trescientos años. Si alguien ha de reclamar estas tierras, somos nosotros!;;;;;;;;;x
EVTOPTAtraditional_claims.6;Family. Duty. Honor.;Famille. Devoir. Honneur.;;;Familia. Deber. Honor.;;;;;;;;;x
EVTDESCtraditional_claims.7;Ser Artys Arryn was the first knight to cross the Narrow Sea. He flew to the Eyrie on a falcon, slew the Mountain King, and gave the Vale of Arryn its name. His legacy is ours by right.;Ser Artys Arryn fut le premier chevalier à traverser le Détroit. Il a atteint les Eyrié sur un faucon, a tué le Roi de la Montagne et a donné son nom au Val d'Arryn. De droit, son héritage est le nôtre.;;;Ser Artys Arryn fue el primer caballero en cruzar el Mar Angosto. Voló hasta el Nido de Águilas en un halcón, mató al rey de la montaña, y le dio al Valle de Arryn su nombre. Su legado es nuestro por derecho.;;;;;;;;x;
EVTOPTAtraditional_claims.7;As high as honor.;Aussi haute qu'Honneur.;;;Tan alto como el honor.;;;;;;;;;x
EVTDESCtraditional_claims.8;The lion has flown over the West since the Age of Heroes. The Casterlies once thought themselves the masters of Casterly Rock, but Lann the Clever taught them otherwise. These new upstarts will soon learn the same.;La bannière du lion a flotté sur l'Ouest depuis l'Âge des Héros. Les Castral ont eux-mêmes pensé être les maîtres de Castral Roc et Lann le Fûté leur a prouvé le contraire. Le même destin attend ces arrivistes.;;;El león ha estado en Occidente desde la Edad de los Héroes. Los Casterly se creían los amos de Roca Casterly, pero Lann el Astuto les enseñó lo contrario. Estos nuevos advenedizos pronto aprenderán lo mismo.;;;;;;;;;x
EVTOPTAtraditional_claims.8;Hear me roar!;Je rugis !;;;Oye mi rugido!;;;;;;;;;x
EVTDESCtraditional_claims.9;Never in our history has House Baratheon ever accepted defeat. Durran Godsgrief raised Storm's End to defy the gods themselves. Orys Baratheon came from nothing to take the Stormlands for his own. The stag will fly over our lands once more.;Jamais dans notre histoire un Baratheon n'a accepté la défaite. Durran Dieux-deuil a fondé Accalmie pour défier les dieux eux-mêmes. Orys Baratheon est parti de rien et s'est emparé des Terres de l'Orage. La bannière au cerf flottera à nouveau sur nos terres.;;;Nunca en nuestra historia la Casa Baratheon ha aceptado la derrota. Durran Pesardedioses levantó Bastión de Tormentas para desafiar a los mismos dioses. Orys Baratheon surgió de la nada para tomar las Tierras de las Tormentas por su propia cuenta. El ciervo ondeará sobre nuestras tierras una vez más.;;;;;;;;;x
EVTOPTAtraditional_claims.9;Ours is the fury!;Nôtre est la fureur !;;;Nuestra es la furia!;;;;;;;;;x
