#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
valyrian_steel;Valyrian Steel Sword;Epée en acier valyrien;;;Espada de acero valyrio;;;;;;;;;x
valyrian_steel_desc;Valyrian steel is a magical alloy invented in Valyria and used to make weapons of unparalleled quality.;L'acier valyrien est un alliage magique inventé à Valyria et utilisé pour forger des armes d'une qualité inégalable.;;;El acero valyrio es una aleación metálica mágica inventada en Valyria y usada en la fabricación de armas de calidad incomparable.;;;;;;;;;x
dawn;Dawn;Aube;;;Albor;;;;;;;;;x
dawn_desc;The ancestral greastsword of House Dayne, said to be made from metal forged from the heart of a fallen star. Dawn is largely the reason for House Dayne's fame. Its origins are lost to legend, but it seems likely that the Daynes have carried it for thousands of years. The blade is as pale as milkglass, looking like no Valyrian blade, yet sharing all of the properties, being incredibly strong and sharp. Unlike other houses who have ancestral swords, House Dayne does not pass its sword from lord to lord. Only a knight of House Dayne who is worthy can wield it, with this wielder being traditionally known as the Sword of the Morning.;L'épée ancestrale de la Maison Dayne, dont on raconte qu'elle a été forgée à partir d’une étoile tombée du ciel. Aube est grande partie responsable de la gloire de la maison Dayne. On ne connaît pas exactement son origine, on ne se rappelle que ce qu'en disent les légendes mais il est probable que les Dayne la portent depuis des milliers d'années. La lame est pâle et ne ressemble à aucune épée en acier valyrien bien qu'elle partage toutes les qualités, étant incroyablement solide et acérée. Contrairement aux autres maisons qui possèdent une épée ancestrale, les Dayne ne se passe pas l'épée de seigneur en seigneur. Seul un chevalier de la maison Dayne qui en est digne porte Aube, ce porteur est traditionnellement connu sous le titre d’Epée du Matin.;;;La espada ancestral de la Casa Dayne, se dice que se forjo desde el metal de una estrella caída del cielo. Su portador se conoce tradicionalmente como la Espada del Amanecer.;;;;;;;;;x
TOOLTIPclaim_dawn_dishonorable;You must not be any tier of dishonorable\n;Vous ne devez pas être déshonorable\n;;;No debes ser deshonorable\n;;;;;;;;;x
EVTDESC250277;Your [GetFromRelation] [From.GetTitledFirstName] has died. By the laws of inheritance you will receive [From.GetValyrianSwordHerHis], use it with honour;Votre [GetFromRelation] [From.GetTitledFirstName] est décédé(e). Par les lois de l'héritage, vous recevez[From.GetValyrianSwordHerHis], usez-en avec honneur;;;Has heredado de [Root.GetTitledFirstName] su famosa espada de acero valyrio, úsala con honor;;;;;;;;;x
EVTDESC250277B;[From.GetTitledFirstName], the dishonourable blacksmith, has died. This means [Root.GetValyrianSwordOwned] has been returned to you, no longer in the hands of a thief. Use it with honour.;[From.GetTitledFirstName], le maudit forgeron, est mort. Cela veut dire que [Root.GetValyrianSwordOwned] vous est revenue. Usez-en avec honneur.;;;Has heredado de [Root.GetTitledFirstName] su famosa espada de acero valyrio, úsala con honor;;;;;;;;;x
EVTOPTA250277;It shall be done;Il en sera ainsi;;;Así se hará;;;;;;;;;x
EVTDESC250278;The enemy army is routed and the field is yours, for now. Wandering the battlefield in search of survivors, you notice a gleam of inky-black half-buried beneath the mud. Reaching down, you dig into the dirt with your fingers, only to suddenly cut them on some kind of sharp object. You scrabble to uncover the item, eventually revealing a prized Valyrian-steel blade.;L'armée ennemie est en déroute et le terrain est à vous, pour le moment. Alors que vous recherchez des survivants sur le champ de bataille, vous apercevez une faible lueur d'un noir d'encre provenant d'un petit monticule de boue. Vous vous agenouillez et creusez la poussière avec vos ongles, quand vous vous coupez subitement sur un objet tranchant. Vous extirpez celui-ci de la terre et le grattez jusqu'à découvrir une très convoitée lame en acier valyrien !;;;El ejército enemigo huye y el campo de batalla te pertenece. Recorres el campo de batalla en busca de supervivientes y te fijas en algo que brilla dentro de un montón de lodo, tras escarbar con las manos consigues extraer un objeto afilado...se trata de una espada acero valyrio!;;;;;;;;;x
EVTOPTA250278;To the victor go the spoils!;Au vainqueur va le butin !;;;El botín es para el vencedor!;;;;;;;;;x
EVTDESC250279;The battle rages around you, cries of anger and pain echoing from all angles. As you slash out against yet another assailant, you feel a leaden weight hit you in the chest and you crash to the ground, stunned. It is not until after the battle do you realise that [Root.GetValyrianSwordOwned], your ancestral blade, that you so foolishly wore into battle has been lost in the chaos.;Les combats font rage autour de vous, les cris de douleur et de colère se répercutant sur tout le champ de bataille. Alors que vous frappez de taille un nouvel assaillant, vous sentez un choc violent au niveau de la poitrine et vous vous effondré, sonné par l’impact. Ce n’est qu’après la bataille que vous réalisez que, dans le chaos des combats, vous avez égaré [Root.GetValyrianSwordOwned], votre ancestrale lame, que vous aviez sottement amené avec vous !;;;La batalla retumba a tu alrededor y los gritos de dolor y miedo te rodean. Un golpe de maza en el costado proveniente de un jinete enemigo hace que te tambalees en el caballo y te toca alejarte para no ser derribado. Cuando estás en lugar seguro adviertes que has perdido la famosa hoja de acero valyrio que poseias.;;;;;;;;;x
EVTOPTA250279;Damnation!;Merde !;;;Maldición!;;;;;;;;;x
EVTDESC251400;Your Master-at-Arms brings you a list of all owners of Valyrian blades.;Votre Maître d'Armes vous a compilé une liste de tous les possesseurs d'épées valyriennes.;;;Tu Maestro de Armas te trae una lista de todos los propietarios de espadas de acero valyrio.;;;;;;;;;x
EVTOPTA251400;They are: (look at the tooltip).;Ils sont : (regardez l'infobulle).;;;Ellos son: (mirar en la descripción).;;;;;;;;;x
show_me_val_swords;Show owners of Valyrian blades;Montrer les possesseurs d'épées valyriennes;;;Mostrar Espadas de Acero Valyrio;;;;;;;;;x
show_me_val_swords_desc;Ask your Master-at-Arms for a list with all known owners of Valyrian blades.;Demander à votre Maître d'Armes une liste des possesseurs d'épées valyriennes.;;;Solicitar al Maestro de Armas que haga una lista de los propietarios de espadas de acero valyrio.;;;;;;;;;x
opinion_gave_sword_to_me;Gave Me Our Ancestral Sword;M’a donné notre épée ancestrale;;;Me concedió nuestra espada ancestral.;;;;;;;;;x
opinion_didnt_give_sword_to_me;Denied Me Our Ancestral Sword;M’a refusé notre épée ancestrale;;;Me denegó nuestra espada ancestral.;;;;;;;;;x
give_valyrian_sword_to_son;Grant Valyrian Sword;Donner votre épée valyrienne;;;Ceder tu espada de acero valyrio.;;;;;;;;;x
give_valyrian_sword_to_son_desc;I will pass on my sword to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner mon épée à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi.;;;Cederé mi espada de acero valyrio a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
blackfyre;Blackfyre;Feunoyr;;;Fuegoscuro;;;;;;;;;x
blackfyre_desc;Blackfyre was one of two Valyrian steel swords the Targaryens brought from Dragonstone after the Doom, making it one of the most prized possessions of the Targaryen family;Feunoyr fut l'une des deux épées en acier valyrien que les Targaryen ramenèrent de Peyredragon après le Fléau, faisant d'elle l'une des possessions les plus prisées de la famille Targaryen.;;;Fuegoscuro es una  espada bastarda y una de las dos espadas de acero valyrio que los Targaryen trajeron a Rocadragón antes de la Maldición, por lo que es una de las posesiones más preciadas de la familia Targaryen. Maelys el Monstruoso fue el último poseedor conocido de la espada.;;;;;;;;;x
darksister;Dark Sister;Noire Sœur;;;Hermana Oscura;;;;;;;;;x
darksister_desc;Dark Sister was one of two Valyrian steel swords the Targaryens brought from Dragonstone after the Doom, making it one of the most prized possessions of the Targaryen family. Bloodraven was the last known wielder of the blade.\n\n-If the owner of Dark Sister is a Targaryen, then the head of House Targaryen will usually inherit this sword on the owners death.;Noire Sœur fut l'une des deux épées en acier valyrien que les Targaryen ramenèrent de Peyredragon après le Fléau, faisant d'elle l'une des possessions les plus prisées de la famille Targaryen. Freuxsanglant fut le dernier porteur connu de la lame. ;;;Hermana Oscura una de las dos espadas de acero valyrio que los Targaryen trajeron a Rocadragón antes de la Maldición, por lo que es una de las posesiones más preciadas de la familia Targaryen. Cuervo de Sangre fue el último poseedor conocido de la espada.;;;;;;;;;x
ice;Ice;Glace;;;Hielo;;;;;;;;;x
ice_desc;Ice is the ancestral Valyrian steel greatsword of House Stark, spellforged in Valyria a century before Aegon's conquest.;Glace est l’ancestrale épée en acier valyrien de la Maison Stark, forgée par magie un siècles avant le Débarquement d’Aegon.;;;Hielo es el mandoble ancestral de acero valyrio de la Casa Stark, forjado con magia en Valyria un siglo antes de la conquista de Aegon.;;;;;;;;;x
longclaw;Longclaw;Grand-Griffe;;;Garra;;;;;;;;;x
longclaw_desc;Longclaw is the ancestral Valyrian steel sword of house Mormont which has been in the hands of the Mormont dynasty for hundreds of years.;Grand-Griffe est l’ancestrale épée en acier valyrien de la Maison Mormont qui l’a en sa possession depuis des centaines d’années.;;;Garra es la espada bastarda ancestral de acero valyrio de la casa Mormont y ha pasado de generación en generación durante casi quinientos años.;;;;;;;;;x
longclaw_snow;Longclaw;Grand-Griffe;;;Garra;;;;;;;;;x
longclaw_snow_desc;Longclaw is the ancestral Valyrian steel sword of house Mormont passed onto Jon Snow when Jon and his direwolf saved Mormont's life at Castle Black.;Grand-Griffe est l’ancestrale épée en acier valyrien de la Maison Mormont qui a été remise à Jon Snow après que Jon et son loup-garou aient sauvé la vie de Mormont à Château-Noir.;;;Garra es la espada bastarda ancestral de acero valyrio de la casa Mormont cedida a Jon Nieve cuando Jon y su lobo huargo salvaron la vida de Jeor Mormont en el Castillo Negro.;;;;;;;;;x
brightroar;Brightroar;Rugissante;;;Rugido;;;;;;;;;x
brightroar_desc;Brightroar is the lost ancestral Valyrian steel sword of House Lannister, lost with Tommen II in the Doom of Valyria;Rugissante est l'ancestrale épée en acier valyrien disparue de la Maison Lannister, perdue avec Tommen II lors du Fléau de Valyria;;;Rugido es la espada ancestral de acero valyrio de la Casa Lannister, comprada un siglo antes de la maldición de Valyria. Se perdió cuando el Rey de la Roca Tommen II se embarcó a Valyria y nunca regresó.;;;;;;;;;x
lightbringer;Lightbringer;Illumination;;;Dueña de Luz;;;;;;;;;x
