#CODE;ENGLISH;FRENCH;;;SPANISH;;;;;;;;;x
widowed;Widowed;Veuf(ve);;;Enviudado;;;;;;;;;x
widowed_desc;This character is grief-stricken and mourning a lost spouse.;Ce personnage est frappé par le chagrin et le deuil après la perte de son(a) conjoint(e).;;;Este personaje está lleno de dolor y perdió un cónyuge recientemente.;;;;;;;;;x
EVTDESCwidowed.1;My grief is too great to sustain this marriage...;Mon chagrin est trop grand pour supporter ce mariage…;;;Mi pena es demasiado grande para sostener este matrimonio…;;;;;;;;;x
EVTOPTAwidowed.1;...I'm afraid it must come to an end.;… j'ai peur que cela doive se terminer.;;;…Me temo que tiene que llegar el final.;;;;;;;;;x
WIDOWDESC;Time passes, yet to me the world seems unreal. It is if a life without [From.GetFirstName] is but a mummer's farce. I am lost in this sea of loneliness and know not where to turn.;Le temps passe, mais pour moi le monde semble iréel. C'est comme si la vie sans [From.GetFirstName] était une farce. Je suis perdu dans cette mer de solitude et ne sait où aller. ;;;El tiempo pasa, pero el mundo todavía se ve irreal. Una vida sin la cara de [From.GetFirstName] es una imitación de la misma. Estoy perdido en el mar de la soledad y no sé donde ir.;;;;;;;;;x
WIDOWOPTA;Drown yourself in wine, women, and song;Vous noyer dans les femmes, le vin et les chansons. ;;;Te ahogas en vino, mujeres y canciones;;;;;;;;;x
WIDOWTOOLTIPX;[Root.GetTitledFirstName] becomes a hedonist, duelist, falconer, or hunter.;[Root.GetTitledFirstName] devient un hédoniste, un dueliste, un fauconnier ou un chasseur. ;;;[Root.GetTitledFirstName] se vuelve hedonista, duelista, cetrero o cazador.;;;;;;;;;x
WIDOWTOOLTIPA;[Root.GetTitledFirstName] involves himself in a drunken quarrel and loses.;[Root.GetTitledFirstName] participe à une querelle d'ivrognes et se fait battre. ;;;[Root.GetTitledFirstName] se involucra en una pelea de borrachos y pierde.;;;;;;;;;x
WIDOWTOOLTIPQ;[Root.GetTitledFirstName] increases in combat skill.;[Root.GetTitledFirstName] améliore ses aptitudes au combat.;;;[Root.GetTitledFirstName] gana habilidad marcial.;;;;;;;;;x
WIDOWOPTB;Lose yourself in books, songs, and the wisdom of others;Vous perdre dans les livres, les chansons et la sagesse des autres. ;;;Te pierdes en los libros, canciones y la sabiduría de otros;;;;;;;;;x
WIDOWTOOLTIPB;[Root.GetTitledFirstName] gives up [Root.GetHerHis] worldly titles and becomes a Maester.;[Root.GetTitledFirstName] renonce à ses titres et devient un Mestre. ;;;[Root.GetTitledFirstName] abandona [Root.GetHerHis] sus títulos terrenales y se vuelve un Maestre;;;;;;;;;x
WIDOWTOOLTIPY;[Root.GetTitledFirstName] becomes a scholar, mystic, or poet;[Root.GetTitledFirstName] devient un érudit, un mystique ou un poète ;;;[Root.GetTitledFirstName] se vuelve un erudito, místico o poeta;;;;;;;;;x
WIDOWTOOLTIPC;[Root.GetTitledFirstName] becomes a man of great intelligence;[Root.GetTitledFirstName] devient un homme de grande intelligence;;;[Root.GetTitledFirstName] se transforma en un hombre de gran inteligencia;;;;;;;;;x
WIDOWTOOLTIPZ;[Root.GetTitledFirstName] decreases in combat skill;[Root.GetTitledFirstName] voit décliner ses aptitudes au combat ;;;[Root.GetTitledFirstName] baja su habilidad marcial;;;;;;;;;x
WIDOWOPTC;Seek solace in the arms of another;Chercher la consolation dans les bras d'un(e) autre;;;Buscaré consuelo en los brazos de otra persona;;;;;;;;;x
WIDOWOPTD;This is nonsense. I will move on with my life;C'est absurde. Je dois continuer de l'avant;;;Esto no tiene sentido. Voy a seguir con mi vida;;;;;;;;;x
WIDOWTOOLTIPD;[Root.GetTitledFirstName] becomes wroth, proud, cynical, or cruel;[Root.GetTitledFirstName] devient colérique, fier, cynique ou cruel ;;;[Root.GetTitledFirstName] se vuelve iracundo, orgulloso, cínico, o cruel;;;;;;;;;x
WIDOWTOOLTIPE;[Root.GetTitledFirstName] becomes authoritative or rude;[Root.GetTitledFirstName] devient autoritaire ou grossier;;;[Root.GetTitledFirstName] se vuelve autoritativo o rudo;;;;;;;;;x
WIDOWTOOLTIPF;[Root.GetTitledFirstName] becomes selfish or stubborn;[Root.GetTitledFirstName] devient égoïste ou têtu;;;[Root.GetTitledFirstName] se vuelve egoísta o terco;;;;;;;;;x
EVTDESCwidowed.5;As time slips by, I feel old wounds healing. I can look back now on the cherished memories, and not be absorbed in the painful ones.;Avec le temps, je sens que les vieilles cicatrices se sont refermées. Je peux désormais regarder en arrière et me souvenir des moments heureux. Je ne suis plus obnubilé par les évènements sombres et douloureux. ;;;Como el tiempo pasa, siento como las viejas heridas sanan. Puedo mirar hacia atrás a las alegres memorias y no ser absorvido por las dolorosas;;;;;;;;;x
EVTOPTAwidowed.5;I am ready to move on with my life;Je suis prêt à aller de l'avant. ;;;Estoy listo para seguir con mi vida;;;;;;;;;x
WIDOWOPTE;[From.GetSheHeCap] was a fraud anyway;[From.GetSheHeCap] était un(e) imposteur(e) de toute façon;;;De cualquier manera, [From.GetSheHeCap] era un fraude;;;;;;;;;x
killed_spouse;Spouse is dead;L'époux(se) est mort(e);;;Cónyuge muerto;;;;;;;;;x
