#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wikid;On a Quest Overseas;Dans une quête outre-mer;;;;;;;;;;;;x
wikid_desc;This character is not at court, and is on a quest in foreign lands;Ce personnage n'est pas à la cour, il est actuellement en terre étrangère pour mener une quête;;;;;;;;;;;;x
wikiddirewolf;The pillar displays a Direwolf;Un Loup Garou est représenté sur le pilier;;;;;;;;;;;;x
wikidcrow;The pillar displays a Crow;Un Corbeau est représenté sur le pilier;;;;;;;;;;;;x
wikideagle;The pillar displays an Eagle;Un Aigle est représenté sur le pilier;;;;;;;;;;;;x
wikiddog;The pillar displays a Dog;Un Chien est représenté sur le pilier;;;;;;;;;;;;x
wikiddirewolf_desc;The pillar displays a Direwolf;Un Loup Garou est représenté sur le pilier;;;;;;;;;;;;x
wikidcrow_desc;The pillar displays a Crow;Un Corbeau est représenté sur le pilier;;;;;;;;;;;;x
wikideagle_desc;The pillar displays an Eagle;Un Aigle est représenté sur le pilier;;;;;;;;;;;;x
wikiddog_desc;The pillar displays a Dog;Un Chien est représenté sur le pilier;;;;;;;;;;;;x
CUSTOMTOOLTIPwikidsuccess;You Succeed.;Succès;;;;;;;;;;;;x
CUSTOMTOOLTIPwikidfail;You Fail.;Echec;;;;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionloves;Your companion think's fondly of you because of this.;Votre compagnon(e) vous aime pour cela.;;;;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionhates;Your companion dislikes you because of this.;Votre compagnon(e) vous déteste pour cela.;;;;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionbetrayinform;You have treated your companion so poorly that they have decided to claim the sword for themselves;Vous avez tellement mal traité votre compagnon(e) qu'il a décidé de prendre l'épée pour lui(elle)-même;;;;;;;;;;;;x
EVTTITLEwikid.1;An old man with a map;Un vieil homme avec une carte;;;;;;;;;;;;x
EVTDESCwikid.1;My [Root.GetLordSpiritualName] came to me today, a bit annoyed and tired.\n\n'[Root.PrimaryTitle.GetFOA], there is an old man in the courtyard claiming he has to speak with you. He claims he has something you'd pay a great sum of money for. The old man seems to me to be a lunatic, but...well he claimed he had a map.......an old map of Valyria where great treasures are hidden.';Mon [Root.GetLordSpiritualName] est venu à moi aujourd'hui, un peu ennuyé et fatigué.\n\n'[Root.PrimaryTitle.GetFOA], il y a un vieil homme dans la cour qui dit avoir à parler avec vous. Il affirme être en possession de quelque chose que vous seriez prêt à acheter à grand prix. Il me semble un peu lunatique mais... enfin, il dit qu'il a une carte.... Une antique carte de Valyria indiquant où sont cachés de grands trésors. ';;;;;;;;;;;;x
EVTOPTAwikid.1;Let's hear what he has to say.;Ecoutons ce qu'il a à dire.;;;;;;;;;;;;x
EVTOPTBwikid.1;Get out of here old man;Qu'il prenne ses cartes et déguerpisse !;;;;;;;;;;;;x
EVTOPTCwikid.1;I will die in real life;Je vais mourir pour de vrai;;;;;;;;;;;;x
EVTTITLEwikid.2;The Beginning of a Story;Le début d'une histoire;;;;;;;;;;;;x
